Document set number (Dnnn)
|    Summary type (M = multi-doc, P= single-doc)
|    | Base TREC document id
|    | |               Summary target size (10,50,100,200)
|    | |               |    Peer size (whitespace-delimited tokens)
|    | |               |    |  Document selector code (A-J)
|    | |               |    |  |
|    | |               |    |  |   Model summarizer code (A-J)
|    | |               |    |  |   | Assessor code (A-C,E-J)
|    | |               |    |  |   | |  Peer summarizer code (baseline[1-3], manual[A-J]submission, or system submission[15-31])
|    | |               |    |  |   | |  |      Count of quality questions with non-0 answers   
|    | |               |    |  |   | |  |      |  ######### 12 peer quality questions ask for counts of ERRORS 
|    | |               |    |  |   | |  |      |  Q1        (0 = 0, 1 = 1-5, 2 = 6-10, 3 = 11 or more)
|    | |               |    |  |   | |  |      |  | Q2      (No questions asked on 10-word summaries)
|    | |               |    |  |   | |  |      |  | | Q3
|    | |               |    |  |   | |  |      |  | | | Q4
|    | |               |    |  |   | |  |      |  | | | | Q5
|    | |               |    |  |   | |  |      |  | | | | |   Q6
|    | |               |    |  |   | |  |      |  | | | | |   | Q7
|    | |               |    |  |   | |  |      |  | | | | |   | | Q8 
|    | |               |    |  |   | |  |      |  | | | | |   | | | Q9
|    | |               |    |  |   | |  |      |  | | | | |   | | | | Q10
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | Q11
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | Q12
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   Fraction of unmarked peer units at least related to the model's subject
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        Number of peer units 
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   Number of marked peer units
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   Number of unmarked peer units
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   Number of model units
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   Mean coverage
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   |     Median coverage
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   |     |     Sample standard deviation of coverage scores
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   |     |     |       Mean length-adjusted coverage
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   |     |     |       |     Median length-adjusted coverage
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   |     |     |       |     |     Sample standard deviation of adjusted coverage scores
|    | |               |    |  |   | |  |      |  | | | | |   | | | | | | |   |        |   |   |   |   |     |     |       |     |     |

D061 M --------------- 010   9 J   I I  16     0  - - - - -   - - - - - - -   0.00     1   1   0   1   0.600 0.600 0.000   0.433 0.433 0.000  
D061 M --------------- 010  10 J   I I  19     0  - - - - -   - - - - - - -   0.00     1   1   0   1   0.600 0.600 0.000   0.400 0.400 0.000  
D061 M --------------- 010   3 J   I I  20     0  - - - - -   - - - - - - -   1.00     1   0   1   1   0.000 0.000 0.000   0.233 0.233 0.000  
D061 M --------------- 010   8 J   I I  25     0  - - - - -   - - - - - - -   0.00     1   1   0   1   0.200 0.200 0.000   0.200 0.200 0.000  
D061 M --------------- 010  10 J   I I  26     0  - - - - -   - - - - - - -   0.00     1   1   0   1   0.200 0.200 0.000   0.133 0.133 0.000  
D061 M --------------- 010  10 J   I I  29     0  - - - - -   - - - - - - -   0.00     1   1   0   1   0.200 0.200 0.000   0.133 0.133 0.000  
D061 M --------------- 010   9 J   I I   B     0  - - - - -   - - - - - - -   0.00     1   1   0   1   0.800 0.800 0.000   0.567 0.567 0.000  
D061 M --------------- 050  43 J   I I  16     0  0 0 0 0 0   0 0 0 0 0 0 0   1.00     1   0   1   7   0.000 0.000 0.000   0.047 0.047 0.000  
D061 M --------------- 050  47 J   I I  19     2  0 0 0 0 0   0 0 0 1 0 1 0   0.00     5   5   0   7   0.400 0.600 0.400   0.287 0.420 0.267  
D061 M --------------- 050  57 J   I I   2     0  0 0 0 0 0   0 0 0 0 0 0 0   1.00     2   1   1   7   0.114 0.000 0.302   0.076 0.000 0.202  
D061 M --------------- 050  42 J   I I  20     1  0 0 0 0 0   0 0 0 0 0 0 1   1.00     2   1   1   7   0.057 0.000 0.098   0.091 0.053 0.065  
D061 M --------------- 050  43 J   I I  24     4  0 1 0 1 1   0 0 0 0 0 0 1   1.00     2   1   1   7   0.086 0.000 0.157   0.104 0.047 0.105  
D061 M --------------- 050  48 J   I I  25     6  3 1 0 1 0   1 0 1 0 0 1 0   1.00     3   2   1   7   0.143 0.000 0.299   0.109 0.013 0.199  
D061 M --------------- 050  41 J   I I  26     5  1 0 0 1 0   1 0 0 0 0 1 1   1.00     5   4   1   7   0.343 0.200 0.378   0.289 0.193 0.252  
D061 M --------------- 050  60 J   I I  28     0  0 0 0 0 0   0 0 0 0 0 0 0   0.00     2   0   2   7   0.000 0.000 0.000   0.000 0.000 0.000  
D061 M --------------- 050  40 J   I I  29     1  0 0 0 0 0   0 0 0 0 0 0 1   1.00     2   1   1   7   0.114 0.000 0.227   0.143 0.067 0.151  
D061 M --------------- 050  55 J   I I   3     1  0 0 0 0 0   0 0 0 1 0 0 0   0.00     2   2   0   7   0.314 0.000 0.414   0.210 0.000 0.276  
D061 M --------------- 050  49 J   I I   B     1  1 0 0 0 0   0 0 0 0 0 0 0   0.00     3   3   0   7   0.543 0.800 0.378   0.369 0.540 0.252  
D061 M --------------- 100  99 J   I I  16     4  3 0 0 0 1   0 0 0 1 0 1 0   1.00     3   2   1   8   0.050 0.000 0.093   0.037 0.003 0.062  
D061 M --------------- 100  98 J   I I  19     5  1 0 0 0 0   1 0 0 1 0 1 1   0.00     7   7   0   8   0.500 0.500 0.370   0.340 0.340 0.247  
D061 M --------------- 100 100 J   I I   2     0  0 0 0 0 0   0 0 0 0 0 0 0   1.00     6   5   1   8   0.250 0.000 0.463   0.167 0.000 0.309  
D061 M --------------- 100  85 J   I I  20     1  0 0 0 0 0   0 0 0 0 0 0 1   1.00     5   3   2   8   0.050 0.000 0.093   0.083 0.050 0.062  
D061 M --------------- 100  75 J   I I  24     5  0 1 0 0 1   0 0 1 0 0 1 1   1.00     3   2   1   8   0.175 0.000 0.292   0.200 0.083 0.194  
D061 M --------------- 100 106 J   I I  25     4  3 0 0 1 0   1 0 0 0 0 0 1   1.00     5   4   1   8   0.175 0.000 0.292   0.117 0.000 0.194  
D061 M --------------- 100 105 J   I I  26     6  0 0 0 1 1   0 0 1 1 0 1 1   1.00     5   3   2   8   0.175 0.000 0.292   0.117 0.000 0.194  
D061 M --------------- 100 119 J   I I  28     3  0 0 0 0 0   0 0 0 1 0 1 1   0.00     4   4   0   8   0.375 0.200 0.420   0.250 0.133 0.280  
D061 M --------------- 100 101 J   I I  29     3  0 0 0 0 0   0 1 1 0 0 0 2   1.00     7   1   6   8   0.025 0.000 0.071   0.017 0.000 0.047  
D061 M --------------- 100 105 J   I I   3     3  0 0 0 0 0   0 0 0 1 0 1 1   1.00     4   3   1   8   0.175 0.000 0.328   0.117 0.000 0.219  
D061 M --------------- 100 103 J   I I   B     0  0 0 0 0 0   0 0 0 0 0 0 0   0.00     5   5   0   8   0.575 0.600 0.420   0.383 0.400 0.280  
D061 M --------------- 200 198 J   I I  16     7  2 0 0 0 1   1 0 1 1 0 1 1   1.00     5   3   2  25   0.208 0.000 0.291   0.142 0.003 0.194  
